Key, Current Count, Banger Count, Five Star Count, Four Half Star Count, Four Star Count, Not Rated Count
02, 214, 20, 125, 73, 7, 9
03, 100, 15, 56, 32, 3, 9
04, 134, 12, 68, 50, 8, 8
05, 165, 21, 85, 56, 9, 15
06, 153, 13, 84, 46, 8, 15
07, 269, 53, 162, 64, 18, 25
08, 90, 10, 56, 22, 2, 10
09, 132, 17, 75, 40, 2, 15
10, 117, 24, 78, 28, 1, 10
11, 114, 11, 58, 31, 1, 24
12, 104, 17, 60, 27, 5, 12
13, 160, 17, 80, 44, 4, 32
14, 143, 24, 92, 25, 1, 25
15, 93, 5, 54, 19, 3, 17
16, 78, 13, 46, 16, 1, 15
17, 103, 8, 47, 22, 6, 28
18, 132, 9, 61, 31, 4, 35
19, 178, 14, 96, 38, 2, 42
20, 64, 9, 37, 14, 1, 12
21, 159, 17, 75, 22, 2, 60
22, 6, 0, 2, 1, 0, 3
23, 146, 20, 75, 16, 3, 52
24, 86, 8, 28, 14, 2, 42
25, 175, 10, 55, 32, 1, 87
26, 91, 2, 24, 13, 0, 54
28, 172, 0, 30, 18, 0, 124
29, 222, 0, 33, 17, 0, 172
30, 74, 0, 6, 4, 0, 64
31, 99, 0, 10, 5, 1, 83
32, 164, 0, 6, 6, 1, 149
